"Title","URL handle","Option1 name","Option1 value","Product image URL","Image position","Image alt text"
"Phantom 100 ML","phantom-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","Phantom 100 ML"
"Phantom Intense 100 ML","phantom-intense-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","Phantom Intense 100 ML"
"Phantom Parfum 100 ML","phantom-parfum-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","Phantom Parfum 100 ML"
"Phantom Legion 100 ML","phantom-legion-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","Phantom Legion 100 ML"
"Pure Xs 100 ML","pure-xs-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","Pure Xs 100 ML"
"Black Xs 100 ML","black-xs-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","Black Xs 100 ML"
"Black Xs L’exces 100 ML","black-xs-l-exces-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","Black Xs L’exces 100 ML"
"Black Xs L’aphrodisiaque 100 ML","black-xs-l-aphrodisiaque-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Paco%20Rabanne","1","Black Xs L’aphrodisiaque 100 ML"
"Bad Boy Carolina Herrera 100 ML","bad-boy-carolina-herrera-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","Bad Boy Carolina Herrera 100 ML"
"CH Men Carolina Herrera","ch-men-carolina-herrera","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","CH Men Carolina Herrera"
"212 Men Nyc Carolina Herrera","212-men-nyc-carolina-herrera","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 Men Nyc Carolina Herrera"
"212 VIP Men Carolina Herrera","212-vip-men-carolina-herrera","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 VIP Men Carolina Herrera"
"212 VIP Black Carolina Herrera","212-vip-black-carolina-herrera","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 VIP Black Carolina Herrera"
"212 VIP Wild Party Men","212-vip-wild-party-men","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 VIP Wild Party Men"
"212 Heroes Men 90 ML","212-heroes-men-90-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 Heroes Men 90 ML"
"212 VIP Red Men 100 ML","212-vip-red-men-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 VIP Red Men 100 ML"
"212 VIP Wins Men 100 ML","212-vip-wins-men-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 VIP Wins Men 100 ML"
"212 Sexy Men 100 ML","212-sexy-men-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 Sexy Men 100 ML"
"212 Men Aqua 100 ML","212-men-aqua-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 Men Aqua 100 ML"
"212 VIP Black I Love Ny 100 ML","212-vip-black-i-love-ny-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Carolina%20Herrera","1","212 VIP Black I Love Ny 100 ML"
"Bleu De Chanel 100 ML","bleu-de-chanel-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Chanel","1","Bleu De Chanel 100 ML"
"Allure Homme Sport 100 ML","allure-homme-sport-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Chanel","1","Allure Homme Sport 100 ML"
"Clinique Happy Men 100 ML","clinique-happy-men-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Clinique","1","Clinique Happy Men 100 ML"
"Swiss Army Victorinox 100 ML","swiss-army-victorinox-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Victorinox","1","Swiss Army Victorinox 100 ML"
"Creed Silver 100 ML","creed-silver-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Creed","1","Creed Silver 100 ML"
"Creed Milesime Imperial 100 ML","creed-milesime-imperial-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Creed","1","Creed Milesime Imperial 100 ML"
"Creed Vetiver 100 ML","creed-vetiver-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Creed","1","Creed Vetiver 100 ML"
"Creed Santal 100 ML","creed-santal-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Creed","1","Creed Santal 100 ML"
"Creed Green Irish Tweet 100 ML","creed-green-irish-tweet-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Creed","1","Creed Green Irish Tweet 100 ML"
"Bvlgari Aqua 100 ML","bvlgari-aqua-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Bvlgari","1","Bvlgari Aqua 100 ML"
"Bvlgari Man In Black 100 ML","bvlgari-man-in-black-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Bvlgari","1","Bvlgari Man In Black 100 ML"
"Bvlgari Pour Homme 100 ML","bvlgari-pour-homme-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Bvlgari","1","Bvlgari Pour Homme 100 ML"
"Diesel Only The Brave 120 ML","diesel-only-the-brave-120-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Diesel","1","Diesel Only The Brave 120 ML"
"Diesel Tatto 120 ML","diesel-tatto-120-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Diesel","1","Diesel Tatto 120 ML"
"Light Blue Men 120 ML","light-blue-men-120-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Dolce%20%26%20Gabbana","1","Light Blue Men 120 ML"
"Dolce Pour Homme 120 ML","dolce-pour-homme-120-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Dolce%20%26%20Gabbana","1","Dolce Pour Homme 120 ML"
"K Dolce & Gabbana 100 ML","k-dolce-y-gabbana-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Dolce%20%26%20Gabbana","1","K Dolce & Gabbana 100 ML"
"The One Men 100 ML","the-one-men-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Dolce%20%26%20Gabbana","1","The One Men 100 ML"
"Blue Label Givenchy 100 ML","blue-label-givenchy-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Givenchy","1","Blue Label Givenchy 100 ML"
"Boss Bottled 100 ML","boss-bottled-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Hugo%20Boss","1","Boss Bottled 100 ML"
"Boss Tonic 100 ML","boss-tonic-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Hugo%20Boss","1","Boss Tonic 100 ML"
"Boss Night 100 ML","boss-night-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Hugo%20Boss","1","Boss Night 100 ML"
"Boss Unlimited 100 ML","boss-unlimited-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Hugo%20Boss","1","Boss Unlimited 100 ML"
"Hugo By Hugo Boss 100 ML","hugo-by-hugo-boss-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Hugo%20Boss","1","Hugo By Hugo Boss 100 ML"
"Hugo Red 100 ML","hugo-red-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Hugo%20Boss","1","Hugo Red 100 ML"
"Hugo Just Diferent 100 ML","hugo-just-diferent-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Hugo%20Boss","1","Hugo Just Diferent 100 ML"
"Hugo Dark Blue 75 ML","hugo-dark-blue-75-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Hugo%20Boss","1","Hugo Dark Blue 75 ML"
"Boss The Scent Men 100 ML","boss-the-scent-men-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Hugo%20Boss","1","Boss The Scent Men 100 ML"
"Boss In Motion 100 ML","boss-in-motion-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Hugo%20Boss","1","Boss In Motion 100 ML"
"Boss Orange 100 ML","boss-orange-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Hugo%20Boss","1","Boss Orange 100 ML"
"Issey Miyake Men 125 ML","issey-miyake-men-125-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Issey%20Miyake","1","Issey Miyake Men 125 ML"
"Arsenal Giles Cantuel 100 ML","arsenal-giles-cantuel-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Gilles%20Cantuel","1","Arsenal Giles Cantuel 100 ML"
"Nautica Voyage 100 ML","nautica-voyage-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Nautica","1","Nautica Voyage 100 ML"
"Lacoste Red 120 ML","lacoste-red-120-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lacoste","1","Lacoste Red 120 ML"
"Lacoste Lerouge 100 ML","lacoste-lerouge-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lacoste","1","Lacoste Lerouge 100 ML"
"Lacoste Blanc 100 ML","lacoste-blanc-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lacoste","1","Lacoste Blanc 100 ML"
"Lacoste Le Noir 100 ML","lacoste-le-noir-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lacoste","1","Lacoste Le Noir 100 ML"
"Lacoste Blue 100 ML","lacoste-blue-100-ml","Title","Default Title","https://placehold.co/900x900/0A0A12/C9A84C/png?text=Lacoste","1","Lacoste Blue 100 ML"
